sample	verdict	mean_depth	breadth_pct	mapped_pct	missing_pct	iupac_pct	snps	ti_tv	flags
TB-2019-B	FAIL	6.5	71	58	12	0.62	1058	1.54	LOW_DEPTH,LOW_BREADTH,HIGH_MISSING,MAPPING_LOW
TB-P2-t1	FAIL	6.5	71	58	12	0.46	1312	1.69	LOW_DEPTH,LOW_BREADTH,HIGH_MISSING,MAPPING_LOW
TB-2019-A	PASS	55.3	97.1	95.6	2	0.7	1278	1.46	.
TB-2020-C	PASS	55	96.4	96.1	2.35	0.17	976	1.72	.
TB-2020-D	PASS	72.7	97.7	98.6	2.66	0.27	983	1.62	.
TB-2021-E	PASS	70.8	98.6	99.1	1.75	0.86	1305	1.56	.
TB-2022-F	PASS	84.8	98.3	99.2	2.61	0.31	963	1.47	.
TB-P1-d0	PASS	83.1	98.6	98.8	1.84	0.64	1322	1.61	.
TB-P1-d120	PASS	47	97	95.6	2.36	0.55	1128	1.66	.
TB-P1-d180	PASS	45.4	99.2	97.1	1.32	0.29	1028	1.52	.
TB-P1-d60	PASS	39.5	97.2	96.8	1.83	0.06	984	1.72	.
TB-P2-t2	PASS	63.8	99.1	95.7	3.48	0.88	1011	1.63	.
TB-P2-t3	PASS	58.5	98.5	96.8	1.69	0.86	967	1.57	.
TB-P2-t4	PASS	59.5	98.1	96.7	2.4	0.69	956	1.49	.
TB-P3-v1	PASS	64.1	96.6	98.6	2.81	0.28	1118	1.64	.
TB-P3-v2	PASS	49.4	97.5	99.3	3.08	0.82	1188	1.62	.
TB-P3-v3	PASS	66.8	99.2	97.8	2.61	0.16	1112	1.56	.
